ID,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,type,location,type_numeric
111,0.254237288,0.637254902,0.120481928,0.190938511,0.110837438,0.216216216,0.198653199,0.264338077,0.310077519,0.052631579,0.512396694,4,WHITE,CALIFORNIA,3
112,0.220338983,0.166666667,0.192771084,0.155339806,0.098522167,0.36036036,0.572390572,0.340232859,0.364341085,0.403508772,0.198347107,6,WHITE,CALIFORNIA,3
113,0.254237288,0.166666667,0.144578313,0.029126214,0.088669951,0.342342342,0.531986532,0.297973264,0.627906977,0.315789474,0.462809917,5,WHITE,CALIFORNIA,3
115,0.254237288,0.107843137,0.198795181,0.13592233,0.093596059,0.369369369,0.417508418,0.246658042,0.310077519,0.298245614,0.495867769,6,WHITE,CALIFORNIA,3
119,0.271186441,0.068627451,0.174698795,0.508090615,0.120689655,0.396396396,0.35016835,0.460974558,0.333333333,0.131578947,0.280991736,6,WHITE,CALIFORNIA,3
123,0.228813559,0.137254902,0.271084337,0.236245955,0.108374384,0.459459459,0.63973064,0.379042691,0.395348837,0.228070175,0.181818182,6,WHITE,CALIFORNIA,3
124,0.389830508,0.117647059,0.186746988,0.067961165,0.110837438,0.135135135,0.279461279,0.304010349,0.186046512,0.201754386,0.247933884,6,WHITE,CALIFORNIA,3
126,0.355932203,0.284313725,0.192771084,0.029126214,0.07635468,0.279279279,0.538720539,0.210866753,0.217054264,0.289473684,0.545454545,7,WHITE,CALIFORNIA,3
127,0.186440678,0.176470588,0.090361446,0.019417476,0.125615764,0.45045045,0.498316498,0.277274687,0.325581395,0.254385965,0.115702479,5,none,CALIFORNIA,1
129,0.203389831,0.303921569,0.144578313,0.132686084,0.068965517,0.396396396,0.444444444,0.199655024,0.395348837,0.184210526,0.52892562,7,none,CALIFORNIA,1
130,0.254237288,0.18627451,0.13253012,0.553398058,0.061576355,0.135135135,0.37037037,0.508408797,0.271317829,0.271929825,0.198347107,5,WHITE,CALIFORNIA,3
131,0.271186441,0.147058824,0.21686747,0.207119741,0.04679803,0.27027027,0.32996633,0.21949116,0.488372093,0.219298246,0.67768595,8,none,CALIFORNIA,1
132,0.161016949,0.078431373,0.156626506,0.181229773,0.083743842,0.243243243,0.36026936,0.279862009,0.263565891,0.315789474,0.314049587,6,none,CALIFORNIA,1
133,0.194915254,0.024509804,0.186746988,0.019417476,0.068965517,0.486486486,0.468013468,0.176369125,0.534883721,0.166666667,0.512396694,7,none,CALIFORNIA,1
134,0.381355932,0.225490196,0.234939759,0.055016181,0.169950739,0.144144144,0.124579125,0.316084519,0.457364341,0.48245614,0.743801653,7,none,CALIFORNIA,1
135,0.220338983,0.274509804,0.126506024,0.048543689,0.093596059,0.225225225,0.141414141,0.409659336,0.581395349,0.48245614,0.280991736,6,RED,CALIFORNIA,2
138,0.677966102,0.176470588,0.313253012,0.035598706,0.15270936,0.045045045,0.013468013,0.417852523,0.372093023,0.438596491,0.363636364,7,none,CALIFORNIA,1
139,0.288135593,0.156862745,0.174698795,0.074433657,0.066502463,0.144144144,0.373737374,0.301854248,0.496124031,0.403508772,0.347107438,6,none,CALIFORNIA,1
140,0.279661017,0.5,0.006024096,0.051779935,0.174876847,0.234234234,0.124579125,0.361793877,0.542635659,0.315789474,0.446280992,6,none,CALIFORNIA,1
142,0.194915254,0.166666667,0.289156627,0.488673139,0.10591133,0.216216216,0.296296296,0.461836999,0.271317829,0.201754386,0.198347107,6,WHITE,CALIFORNIA,3
143,0.237288136,0.225490196,0.222891566,0.177993528,0.10591133,0.108108108,0.531986532,0.384217335,0.403100775,0.149122807,0.132231405,4,none,CALIFORNIA,1
147,0.305084746,0.235294118,0.331325301,0.514563107,0.115763547,0.468468468,0.781144781,0.629150496,0.186046512,0.315789474,0.115702479,6,WHITE,CALIFORNIA,3
148,0.296610169,0.225490196,0.15060241,0.192556634,0.056650246,0.261261261,0.444444444,0.229840448,0.139534884,0.131578947,0.512396694,5,WHITE,CALIFORNIA,3
151,0.449152542,0.205882353,0.198795181,0.04368932,0.133004926,0.108108108,0.070707071,0.347132385,0.418604651,0.543859649,0.611570248,7,RED,CALIFORNIA,2
152,0.305084746,0.166666667,0.174698795,0.197411003,0.027093596,0.27027027,0.36026936,0.270375162,0.317829457,0.061403509,0.462809917,6,WHITE,CALIFORNIA,3
153,0.389830508,0.264705882,0.337349398,0.42394822,0.096059113,0.486486486,0.61952862,0.525657611,0.271317829,0.315789474,0.231404959,6,WHITE,CALIFORNIA,3
154,0.211864407,0.176470588,0.15060241,0.145631068,0.091133005,0.09009009,0.427609428,0.211729194,0.19379845,0.403508772,0.495867769,6,WHITE,CALIFORNIA,3
155,0.211864407,0.12745098,0.240963855,0.03236246,0.054187192,0.423423423,0.430976431,0.197930142,0.542635659,0.236842105,0.578512397,6,WHITE,CALIFORNIA,3
156,0.43220339,0.392156863,0.319277108,0.106796117,0.226600985,0.018018018,0.013468013,0.377317809,0.379844961,0.324561404,0.67768595,7,RED,CALIFORNIA,2
157,0.211864407,0.205882353,0.138554217,0.436893204,0.068965517,0.207207207,0.313131313,0.352307029,0.279069767,0.140350877,0.429752066,6,WHITE,CALIFORNIA,3
158,0.254237288,0.068627451,0.192771084,0.262135922,0.120689655,0.207207207,0.35016835,0.435101337,0.527131783,0.157894737,0.132231405,6,WHITE,CALIFORNIA,3
159,0.347457627,0.176470588,0.198795181,0.310679612,0.073891626,0.648648649,0.693602694,0.422164726,0.162790698,0.236842105,0.247933884,6,WHITE,CALIFORNIA,3
161,0.220338983,0.098039216,0.192771084,0.28802589,0.10591133,0.207207207,0.282828283,0.396291505,0.488372093,0.236842105,0.231404959,6,WHITE,CALIFORNIA,3
162,0.296610169,0.098039216,0.391566265,0.022653722,0.091133005,0.243243243,0.508417508,0.322984045,0.472868217,0.350877193,0.231404959,6,WHITE,CALIFORNIA,3
164,0.372881356,0.117647059,0.259036145,0.058252427,0.165024631,0.27027027,0.151515152,0.41440276,0.627906977,0.51754386,0.396694215,6,RED,CALIFORNIA,2
169,0.279661017,0.098039216,0.156626506,0.019417476,0.078817734,0.171171171,0.218855219,0.236739974,0.248062016,0.456140351,0.314049587,6,WHITE,CALIFORNIA,3
170,0.220338983,0.245098039,0.168674699,0.012944984,0.071428571,0.261261261,0.35016835,0.197930142,0.310077519,0.175438596,0.41322314,6,WHITE,CALIFORNIA,3
171,0.203389831,0.166666667,0.15060241,0.022653722,0.051724138,0.306306306,0.333333333,0.176369125,0.449612403,0.192982456,0.512396694,7,WHITE,CALIFORNIA,3
175,0.313559322,0.156862745,0.186746988,0.401294498,0.100985222,0.225225225,0.585858586,0.505821475,0.255813953,0.271929825,0.181818182,6,WHITE,CALIFORNIA,3
176,0.313559322,0.31372549,0.602409639,0.608414239,0.078817734,0.288288288,0.478114478,0.456662354,0.403100775,0.140350877,0.661157025,6,WHITE,CALIFORNIA,3
178,0.381355932,0.509803922,0.078313253,0.061488673,0.187192118,0.045045045,0.060606061,0.486847779,0.457364341,0.324561404,0.198347107,6,RED,CALIFORNIA,2
179,0.279661017,0.18627451,0.144578313,0.385113269,0.086206897,0.423423423,0.377104377,0.437688659,0.248062016,0.298245614,0.330578512,7,WHITE,CALIFORNIA,3
180,0.211864407,0.254901961,0.198795181,0.126213592,0.061576355,0.162162162,0.249158249,0.197930142,0.511627907,0.315789474,0.661157025,7,WHITE,CALIFORNIA,3
181,0.203389831,0.156862745,0.13253012,0.233009709,0.108374384,0.396396396,0.481481481,0.359637775,0.395348837,0.263157895,0.214876033,5,WHITE,CALIFORNIA,3
182,0.245762712,0.323529412,0.162650602,0.061488673,0.0591133,0.216216216,0.265993266,0.161707633,0.255813953,0.105263158,0.611570248,6,WHITE,CALIFORNIA,3
183,0.322033898,0.357843137,0.265060241,0.446601942,0.088669951,0.603603604,0.693602694,0.495472186,0.589147287,0.122807018,0.330578512,6,WHITE,CALIFORNIA,3
184,0.296610169,0.147058824,0.222891566,0.035598706,0.056650246,0.531531532,0.505050505,0.210866753,0.302325581,0.114035088,0.512396694,6,WHITE,CALIFORNIA,3
187,0.220338983,0.088235294,0.180722892,0.067961165,0.061576355,0.288288288,0.400673401,0.190168176,0.240310078,0.236842105,0.396694215,6,WHITE,CALIFORNIA,3
188,0.398305085,0.088235294,0.445783133,0.093851133,0.100985222,0.252252252,0.410774411,0.245364381,0.434108527,0.157894737,0.727272727,6,WHITE,CALIFORNIA,3
191,0.237288136,0.156862745,0.180722892,0.343042071,0.041871921,0.09009009,0.239057239,0.288917637,0.317829457,0.289473684,0.79338843,7,WHITE,CALIFORNIA,3
192,0.211864407,0.088235294,0.192771084,0.113268608,0.07635468,0.324324324,0.373737374,0.203104787,0.403100775,0.184210526,0.545454545,6,WHITE,CALIFORNIA,3
193,0.237288136,0.200980392,0.295180723,0.346278317,0.064039409,0.504504505,0.441077441,0.440275981,0.279069767,0.280701754,0.148760331,6,WHITE,CALIFORNIA,3
199,0.262711864,0.156862745,0.240963855,0.475728155,0.10591133,0.720720721,0.646464646,0.495472186,0.372093023,0.412280702,0.231404959,5,WHITE,CALIFORNIA,3
200,0.508474576,0.411764706,0.295180723,0.061488673,0.593596059,0.036036036,0.047138047,0.512721,0.457364341,0.5,0.446280992,6,RED,CALIFORNIA,2
202,0.220338983,0.205882353,0.126506024,0.289644013,0.078817734,0.315315315,0.38047138,0.26865028,0.209302326,0.105263158,0.484848484,6,WHITE,CALIFORNIA,3
203,0.296610169,0.235294118,0.204819277,0.190938511,0.056650246,0.207207207,0.356902357,0.342388961,0.387596899,0.210526316,0.297520661,6,WHITE,CALIFORNIA,3
204,0.211864407,0.117647059,0.156626506,0.129449838,0.07635468,0.963963964,0.545454545,0.24450194,0.271317829,0.464912281,0.446280992,7,WHITE,CALIFORNIA,3
205,0.186440678,0.12745098,0.174698795,0.401294498,0.081280788,0.243243243,0.400673401,0.528244933,0.519379845,0.201754386,0.099173554,5,WHITE,CALIFORNIA,3
209,0.296610169,0.235294118,0.15060241,0.210355987,0.115763547,0.414414414,0.585858586,0.387667098,0.279069767,0.219298246,0.132231405,5,WHITE,CALIFORNIA,3
210,0.118644068,0.352941176,0.024096386,0.022653722,0.066502463,0.378378378,0.38047138,0.098749461,0.496124031,0.096491228,0.67768595,8,WHITE,CALIFORNIA,3
211,0.5,0.156862745,0.271084337,0.01618123,0.0591133,0.09009009,0.178451178,0.236739974,0.015503876,0.219298246,0.462809917,6,WHITE,CALIFORNIA,3
212,0.237288136,0.137254902,0.21686747,0.155339806,0.049261084,0.261261261,0.333333333,0.213454075,0.372093023,0.219298246,0.628099174,6,WHITE,CALIFORNIA,3
213,0.110169492,0.245098039,0.162650602,0.194174757,0.032019704,0.387387387,0.414141414,0.21992238,0.496124031,0.149122807,0.495867769,7,WHITE,CALIFORNIA,3
214,0.203389831,0.235294118,0.271084337,0.071197411,0.049261084,0.324324324,0.296296296,0.123760241,0.410852713,0.333333333,0.727272727,6,WHITE,CALIFORNIA,3
215,0.279661017,0.058823529,0.240963855,0.01618123,0.103448276,0.486486486,0.437710438,0.262613195,0.449612403,0.649122807,0.297520661,7,WHITE,CALIFORNIA,3
216,0.228813559,0.196078431,0.15060241,0.132686084,0.049261084,0.477477477,0.410774411,0.156532988,0.348837209,0.192982456,0.694214876,7,WHITE,CALIFORNIA,3
217,0.237288136,0.147058824,0.120481928,0.346278317,0.086206897,0.396396396,0.420875421,0.385079776,0.186046512,0.254385965,0.280991736,6,WHITE,CALIFORNIA,3
218,0.330508475,0.62254902,0.006024096,0.045307443,0.13546798,0.27027027,0.124579125,0.284605433,0.534883721,0.307017544,0.628099174,6,RED,CALIFORNIA,2
219,0.330508475,0.196078431,0.379518072,0.336569579,0.073891626,0.513513514,0.582491582,0.465286762,0.279069767,0.192982456,0.132231405,4,WHITE,CALIFORNIA,3
220,0.237288136,0.166666667,0.180722892,0.443365696,0.10591133,0.351351351,0.595959596,0.469598965,0.23255814,0.245614035,0.181818182,6,WHITE,CALIFORNIA,3
222,0.262711864,0.235294118,0.156626506,0.051779935,0.051724138,0.09009009,0.326599327,0.17033204,0.263565891,0.175438596,0.512396694,6,WHITE,CALIFORNIA,3
224,0.474576271,0.156862745,0.198795181,0.051779935,0.128078818,0.459459459,0.225589226,0.46356188,0.581395349,0.596491228,0.363636364,6,RED,CALIFORNIA,2
225,0.237288136,0.210784314,0.144578313,0.029126214,0.073891626,0.252252252,0.451178451,0.25571367,0.488372093,0.342105263,0.396694215,7,WHITE,CALIFORNIA,3
226,0.211864407,0.235294118,0.156626506,0.365695793,0.098522167,0.558558559,0.552188552,0.387667098,0.325581395,0.289473684,0.314049587,6,WHITE,CALIFORNIA,3
227,0.271186441,0.343137255,0.180722892,0.042071197,0.187192118,0.045045045,0.111111111,0.273824925,0.472868217,0.210526316,0.644628099,6,RED,CALIFORNIA,2
229,0.110169492,0.029411765,0.192771084,0.029126214,0.04679803,0.099099099,0.282828283,0.128072445,0.658914729,0.263157895,0.694214876,6,WHITE,CALIFORNIA,3
231,0.347457627,0.205882353,0.295180723,0.048543689,0.214285714,0.18018018,0.178451178,0.432514015,0.457364341,0.394736842,0.347107438,6,RED,CALIFORNIA,2
233,0.211864407,0.117647059,0.156626506,0.029126214,0.044334975,0.315315315,0.454545455,0.240189737,0.627906977,0.298245614,0.462809917,6,WHITE,CALIFORNIA,3
235,0.228813559,0.264705882,0.21686747,0.003236246,0.061576355,0.279279279,0.353535354,0.099611902,0.302325581,0.245614035,0.67768595,8,WHITE,CALIFORNIA,3
238,0.245762712,0.166666667,0.186746988,0.021035599,0.128078818,0.265765766,0.713804714,0.291936179,0.341085271,0.271929825,0.247933884,5,WHITE,CALIFORNIA,3
242,0.228813559,0.176470588,0.234939759,0.022653722,0.027093596,0.099099099,0.202020202,0.163001294,0.410852713,0.464912281,0.545454545,7,WHITE,CALIFORNIA,3
249,0.372881356,0.12745098,0.192771084,0.322006472,0.108374384,0.468468468,0.468013468,0.435101337,0.348837209,0.228070175,0.363636364,6,WHITE,CALIFORNIA,3
250,0.338983051,0.31372549,0.156626506,0.284789644,0.123152709,0.279279279,0.579124579,0.361793877,0.248062016,0.184210526,0.479338843,6,WHITE,CALIFORNIA,3
251,0.305084746,0.18627451,0.295180723,0.012944984,0.068965517,0.288288288,0.505050505,0.210866753,0.333333333,0.280701754,0.512396694,6,none,CALIFORNIA,1
252,0.330508475,0.254901961,0.168674699,0.333333333,0.07635468,0.27027027,0.373737374,0.47606727,0.426356589,0.061403509,0.198347107,6,WHITE,CALIFORNIA,3
253,0.322033898,0.303921569,0.277108434,0.355987055,0.184729064,0.486486486,0.552188552,0.457956016,0.147286822,0.254385965,0.165289256,5,WHITE,CALIFORNIA,3
255,0.237288136,0.235294118,0.28313253,0.482200647,0.133004926,0.234234234,0.562289562,0.500646831,0.356589147,0.298245614,0.165289256,5,WHITE,CALIFORNIA,3
256,0.296610169,0.117647059,0.234939759,0.051779935,0.096059113,0.207207207,0.272727273,0.143596378,0.170542636,0.114035088,0.661157025,6,WHITE,CALIFORNIA,3
257,0.177966102,0.166666667,0.162650602,0.025889968,0.049261084,0.324324324,0.252525253,0.090125054,0.372093023,0.210526316,0.694214876,6,WHITE,CALIFORNIA,3
258,0.194915254,0.441176471,0.048192771,0.038834951,0.167487685,0.207207207,0.131313131,0.352307029,0.682170543,0.403508772,0.380165289,6,RED,CALIFORNIA,2
261,0.144067797,0.088235294,0.138554217,0.071197411,0.073891626,0.081081081,0.343434343,0.229409228,0.434108527,0.245614035,0.330578512,5,WHITE,CALIFORNIA,3
262,0.254237288,0.078431373,0.174698795,0.313915858,0.091133005,0.522522523,0.461279461,0.347994825,0.372093023,0.157894737,0.462809917,6,WHITE,CALIFORNIA,3
265,0.152542373,0.235294118,0.198795181,0.216828479,0.068965517,0.216216216,0.2996633,0.240189737,0.410852713,0.236842105,0.512396694,6,WHITE,CALIFORNIA,3
